"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350703020686573,0.168245681332214,-2.08446967499917,0.0371174658429309,0.163034808640136
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417853,0.101059218007803,2.03947517585125,0.041402626299623,0.176031664877816
"ENSG00000000457",322.664843927049,0.0245269479387465,0.145145067648912,0.168982303953133,0.865810560623257,0.96169423840405
"ENSG00000000460",87.682625164828,-0.147142049222144,0.257007253994162,-0.572520996724422,0.566969065257104,0.815848587636498
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.45928190580702,0.23431163384516,1.9601327440298,0.0499802769417804,0.200944465780782
"ENSG00000001036",2025.39179382894,-0.228243688351365,0.125005308318024,-1.82587196833829,0.0678695494947598,0.246790954885507
"ENSG00000001084",652.173308358757,-0.253030787429105,0.202576594239254,-1.24906230346761,0.211642286938374,0.495030491997169
"ENSG00000001167",411.684395281717,-0.533733396573746,0.22879146114853,-2.33283792102385,0.0196566535719793,0.105268747647675
"ENSG00000001460",201.336569053853,-0.123556348103816,0.161114727309582,-0.766884257988425,0.443150333999291,0.730583672001841
"ENSG00000001461",2918.77668675377,0.00210152395872146,0.288704344042599,0.00727915600193177,0.99419212509988,0.998014166808357
"ENSG00000001497",539.501702816792,-0.0573211492611287,0.109341581209563,-0.524239256713031,0.600112139777791,0.83762113364764
"ENSG00000001561",115.914401421895,0.286816638209829,0.715972980500755,0.40059701416278,0.688716844326718,0.887117297132053
"ENSG00000001617",604.297522477042,-0.192202806884427,0.198690550509971,-0.967347497860909,0.333370346698647,0.639074750800976
"ENSG00000001626",9.6724145714589,-0.28638806530267,0.586258600931469,-0.488501260105432,0.625194833385613,NA
"ENSG00000001629",1826.75812135437,-0.246091165637124,0.190393072928728,-1.29254264271078,0.196169288314697,0.474446482198352
"ENSG00000001630",979.608386428197,-0.179753249342185,0.121379855928366,-1.48091500000024,0.138629225358551,0.386406073065907
"ENSG00000001631",848.723819299268,-0.0712550209851251,0.153652803233838,-0.463740455660188,0.642833708757127,0.862101878962781
"ENSG00000002016",203.735815126675,-0.411582595769073,0.228455036441653,-1.8015912548034,0.0716097381873938,0.255785255860396
"ENSG00000002079",3.06484852801131,1.06112994552496,1.77213592723453,0.598785865811595,0.549315688866594,NA
"ENSG00000002330",688.667589034695,0.0103246419431417,0.0964225022815199,0.107077100249871,0.914727814057685,0.976989457490278
"ENSG00000002549",1229.98469317186,0.164300728725484,0.177395585311393,0.926182736943972,0.354351022344638,0.656729477664821
"ENSG00000002586",8367.26727634875,0.0792894308760596,0.131640081099898,0.602319827012938,0.546961265484421,0.801490814630143
"ENSG00000002587",1.95953335698007,0.399056442749231,1.15881067603783,0.344367247386496,0.73057011704744,NA
"ENSG00000002726",1.53531673945229,0.804939605370153,1.80336251422429,0.446354850464658,0.655340940970155,NA
"ENSG00000002745",7.28561888515924,-0.616755840397446,1.0200531456104,-0.604631085205249,0.545424147474464,NA
"ENSG00000002746",126.130005973738,0.193681254724138,0.30834947877019,0.628122529983217,0.529923674965919,0.788533509270864
"ENSG00000002822",351.152304336473,-0.0573898319666843,0.150034116411124,-0.382511880227456,0.702081718534385,0.893013427123068
"ENSG00000002834",8609.18275618938,0.416875055371325,0.108296983616562,3.84936903549704,0.00011842247932889,0.00183011066268984
"ENSG00000002919",251.500095596273,0.341973669874905,0.144338780689629,2.36924316695074,0.0178245300399911,0.0988113131243282
"ENSG00000002933",546.441449222623,0.404466498425363,1.40062631378887,0.288775453126558,0.772753217770892,0.925756744262931
"ENSG00000003056",1837.96769229328,-0.00770187687694018,0.100389433711061,-0.0767199952447941,0.938846297516049,0.983555502335176
"ENSG00000003096",414.075308683702,-0.964578629321623,0.191741904270934,-5.03060941732726,4.8892326583763e-07,1.49289170586913e-05
"ENSG00000003137",106.506412172302,-1.03077632905588,0.583074413477086,-1.76782980907871,0.0770893599137181,0.267760568982176
"ENSG00000003147",9.33188603208963,0.254911504755547,0.570505284730343,0.446817078786631,0.65500713893747,NA
"ENSG00000003249",122.242063046478,-0.368497975015877,0.353315002467286,-1.04297290645052,0.296960841169558,0.600626063986292
"ENSG00000003393",860.859802380907,0.0548919352194806,0.166834695847327,0.329019901649913,0.742140645413631,0.912907738368213
"ENSG00000003400",95.3711570248671,-0.178398908375925,0.354603466799919,-0.503094089817753,0.614898121799606,0.845066429642017
"ENSG00000003402",3368.72335143759,1.16249955503505,0.126138593252384,9.21604978350336,3.08247089919345e-20,7.91254606242115e-18
"ENSG00000003436",5053.34063480256,-0.325443615737941,0.199411744750516,-1.63201829533713,0.102675632126582,0.322727153592399
"ENSG00000003509",302.835086615061,-0.10089514827021,0.12509010732038,-0.806579756237623,0.419908640719037,0.713270117058077
"ENSG00000003756",2957.87449781706,-0.183767842696339,0.0805067784638879,-2.28263813560456,0.0224516926498863,0.11514760757959
"ENSG00000003987",30.2673614014711,0.75468715984923,0.350816093211952,2.15123300912331,0.0314578128444943,0.146009370373848
"ENSG00000003989",39.5398447202775,0.586932349134464,0.730281578308851,0.803706907811713,0.421566263728744,0.714323233852296
